Timestamp,1QI1202B SENSOR TSP,1QI1202B.LAB_PH_OSA SENSOR TSP
55:27.0,7.897,7.9
55:50.0,7.906,7.9
56:20.0,7.906,7.9
56:50.0,7.918,7.9
57:20.0,7.918,7.9
57:50.0,7.908,7.9
58:50.0,7.908,7.9
59:20.0,7.894,7.9
00:20.0,7.894,7.9
00:50.0,7.905,7.9
01:20.0,7.894,7.9
01:50.0,7.894,7.9
02:20.0,7.908,7.9
08:50.0,7.908,7.9
09:20.0,7.896,7.9
10:20.0,7.896,7.9
10:50.0,7.907,7.9
11:50.0,7.907,7.9
12:20.0,7.917,7.9
13:20.0,7.917,7.9
13:50.0,7.929,7.9
14:20.0,7.917,7.9
14:50.0,7.917,7.9
15:20.0,7.929,7.9
16:50.0,7.929,7.9
17:20.0,7.941,7.9
17:50.0,7.929,7.9
18:20.0,7.929,7.9
18:50.0,7.917,7.9
19:50.0,7.917,7.9
20:20.0,7.905,7.9
20:50.0,7.905,7.9
21:20.0,7.917,7.9
21:50.0,7.917,7.9
22:20.0,7.905,7.9
22:50.0,7.917,7.9
25:50.0,7.917,7.9
26:20.0,7.903,7.9
26:50.0,7.903,7.9
27:20.0,7.914,7.9
27:50.0,7.914,7.9
28:20.0,7.904,7.9
31:50.0,7.904,7.9
32:20.0,7.892,7.9
32:50.0,7.892,7.9
33:20.0,7.903,7.9
33:50.0,7.903,7.9
34:20.0,7.891,7.9
34:50.0,7.879,7.9
35:20.0,7.89,7.9
35:50.0,7.9,7.9
36:20.0,7.917,7.9
36:50.0,7.929,7.9
38:20.0,7.929,7.9
38:50.0,7.915,7.9
41:50.0,7.915,7.9
42:20.0,7.926,7.9
42:50.0,7.926,7.9
43:20.0,7.915,7.9
47:50.0,7.915,7.9
48:20.0,7.903,7.9
49:50.0,7.903,7.9
50:20.0,7.917,7.9
50:50.0,7.917,7.9
51:20.0,7.907,7.9
51:50.0,7.917,7.9
53:20.0,7.917,7.9
53:50.0,7.904,7.9
56:50.0,7.904,7.9
57:20.0,7.889,7.9
58:20.0,7.889,7.9
58:50.0,7.903,7.9
59:20.0,7.915,7.9
00:20.0,7.915,7.9
00:50.0,7.927,7.9
02:50.0,7.927,7.9
03:20.0,7.915,7.9
10:20.0,7.915,7.9
10:50.0,7.905,7.9
11:50.0,7.905,7.9
12:20.0,7.917,7.9
13:20.0,7.917,7.9
13:50.0,7.905,7.9
14:20.0,7.92,7.9
14:50.0,7.908,7.9
15:50.0,7.908,7.9
16:20.0,7.894,7.9
17:20.0,7.894,7.9
17:50.0,7.847,7.9
18:20.0,6.742,7.9
18:50.0,6.647,7.9
20:50.0,5.293,7.9
21:20.0,7.498,7.9
21:50.0,7.612,7.9
22:20.0,7.628,7.9
23:20.0,7.628,7.9
23:50.0,7.658,7.9
24:20.0,7.634,7.9
24:50.0,7.658,7.9
25:20.0,7.689,7.9
25:50.0,7.656,7.9
26:20.0,7.656,7.9
26:50.0,7.673,7.9
27:20.0,7.684,7.9
27:50.0,7.684,7.9
28:20.0,7.668,7.9
28:50.0,7.682,7.9
29:20.1,7.682,7.9
29:50.0,7.681,7.9
30:20.1,7.67,7.9
30:50.0,7.67,7.9
31:20.0,7.682,7.9
31:50.1,7.696,7.9
